role,player_id,player,n_obs,arima_order,arima_next_forecast
Defender,8005,J. Collins,89,"(0, 1, 1)",13.42719456339769
Defender,8032,Marcos Alonso,39,"(1, 1, 0)",15.444628372321002
Defender,8126,Jos\u00e9 Fonte,105,"(0, 1, 1)",13.233560934030072
Defender,8136,J. Stephens,39,"(1, 1, 0)",13.65576109280585
Defender,8186,S. Dann,20,"(1, 1, 0)",13.608680721456642
Defender,8221,J. Ward,38,"(1, 1, 0)",13.844668778061164
Defender,8239,L. Baines,39,"(1, 0, 0)",13.6262513679901
Defender,8240,S. Coleman,99,"(0, 1, 1)",14.955939589008961
Defender,8242,S. Duffy,99,"(1, 1, 0)",13.474766741233891
Defender,8245,P. Jagielka,39,"(0, 1, 1)",13.567683712271815
Defender,8268,B. Assou-Ekotto,20,"(1, 1, 0)",15.062375963196045
Defender,8277,K. Walker,108,"(0, 1, 1)",14.554399448924649
Defender,8292,D. Rose,109,"(0, 1, 1)",15.400068640405062
Defender,8306,A. Kolarov,43,"(1, 1, 0)",15.051756007313752
Defender,8307,V. Kompany,48,"(1, 1, 0)",14.313812125439098
Defender,8309,K. Rekik,38,"(1, 0, 0)",13.552221475718833
Defender,8311,S. Savi\u0107,38,"(0, 1, 1)",13.921190449368568
Defender,8336,K. Naughton,38,"(1, 1, 0)",13.991310822118349
Defender,8360,C. Dawson,39,"(1, 0, 0)",13.329356488701325
Defender,8362,G. McAuley,86,"(0, 1, 1)",14.141595734295183
Defender,8460,A. Smith,31,"(0, 1, 1)",15.326210469679047
Defender,8488,W. Morgan,39,"(0, 1, 1)",13.530001236978443
Defender,8501,J. Schlupp,37,"(1, 1, 0)",14.762884161122193
Defender,8553,W. Reid,21,"(0, 1, 1)",14.68357406965054
Defender,8554,J. Tomkins,38,"(1, 0, 0)",13.419702360537771
Defender,8643,M. Lowton,39,"(1, 1, 0)",15.087035575557515
Defender,8731,R. Shawcross,38,"(1, 1, 0)",13.406682376813448
Defender,8833,J. Lascelles,39,"(1, 1, 0)",13.42448244722607
Defender,8889,A. Mariappa,35,"(0, 1, 1)",14.0080152515181
Defender,8944,B. Mee,31,"(1, 1, 0)",14.428927379069748
Defender,8945,K. Trippier,47,"(1, 1, 0)",14.369800437432874
Defender,9277,S. Cook,39,"(1, 0, 0)",13.40677104191481
Defender,9279,S. Francis,38,"(1, 0, 0)",14.177735772583148
Defender,9280,S. Malone,34,"(0, 1, 1)",14.653515938213463
Defender,9285,C. Daniels,39,"(1, 1, 0)",14.339578549739942
Defender,9380,J. Stones,48,"(1, 1, 0)",14.514134921975744
Defender,9433,J. Tarkowski,39,"(1, 1, 0)",13.84061244216001
Defender,10108,K. Long,22,"(1, 1, 0)",13.641828680812122
Defender,11078,T. Smith,39,"(1, 1, 0)",14.420478812263017
Defender,11095,M. Veljkovic,38,"(1, 1, 0)",14.421451540153264
Defender,14687,S. Papastathopoulos,37,"(1, 1, 0)",13.488992018329235
Defender,14688,S. Pr\u00f6dl,94,"(0, 1, 1)",13.765008092638524
Defender,14689,Naldo,37,"(1, 1, 0)",13.50893069393969
Defender,14715,H. Badstuber,38,"(1, 1, 0)",13.457413045868753
Defender,14716,J. Boateng,105,"(0, 1, 1)",14.544408997416761
Defender,14718,Rafinha,38,"(1, 1, 0)",14.145968977996766
Defender,14724,D. Alaba,94,"(0, 1, 1)",15.346271474395827
Defender,14745,C. Molinaro,37,"(1, 1, 0)",13.93585510425452
Defender,14748,A. R\u00fcdiger,39,"(1, 1, 0)",14.415878775618157
Defender,14749,G. Sakai,36,"(0, 1, 1)",14.290732010298633
Defender,14772,D. da Costa,37,"(1, 1, 0)",14.211092759967705
Defender,14775,B. Oczipka,37,"(0, 1, 1)",14.842538655238783
Defender,14778,\u00d6. Toprak,36,"(1, 1, 0)",14.000590755625595
Defender,14795,M. Hummels,105,"(0, 1, 1)",14.17259534086956
Defender,14796,C. L\u00f6we,39,"(0, 1, 1)",14.49295587980221
Defender,14798,\u0141. Piszczek,106,"(1, 1, 0)",15.121103483759821
Defender,14800,M. Schmelzer,35,"(1, 1, 0)",15.364046906018501
Defender,14801,N. Suboti\u0107,30,"(0, 1, 1)",13.491476332280046
Defender,14803,S. Bender,35,"(1, 1, 0)",13.720213539134443
Defender,14842,K. Vogt,38,"(1, 1, 0)",14.221632341709896
Defender,14853,C. Fuchs,100,"(0, 1, 1)",14.92086298184845
Defender,14857,K. Papadopoulos,38,"(1, 0, 0)",13.964195954184651
Defender,14869,S. Kola\u0161inac,39,"(0, 1, 1)",15.23489993653276
Defender,14870,J. Matip,32,"(1, 1, 0)",14.339326142628357
Defender,14885,D. Aogo,37,"(1, 1, 0)",14.563023773812969
Defender,14888,D. Diekmeier,30,"(1, 1, 0)",15.548749211916565
Defender,14904,J. Sala,36,"(0, 1, 1)",14.948130544891669
Defender,14917,R. Knoche,38,"(1, 1, 0)",13.555851440549477
Defender,14922,R. Rodr\u00edguez,107,"(0, 1, 1)",15.682249523806714
