player_id,shortName,role_clean,xgb_forecast_next5
20748,N. Tomovi\u0107,Defender,14.075933
20707,S. De Maio,Defender,14.9642935
20638,D. Dainelli,Defender,14.091347
92900,C. Lykogiannis,Defender,13.67108
134420,F. Costa,Defender,13.939174
20928,Felipe,Defender,13.397351
21528,F. Ceccherini,Defender,13.610922
21370,M. Capuano,Defender,14.292519
20550,\u015e. Radu,Defender,14.468496
20583,Danilo,Defender,13.264687
21279,E. Moretti,Defender,14.47984
346101,T. Alexander-Arnold,Defender,15.505367
70083,Danilo,Defender,14.628918
7887,G. Cahill,Defender,13.977241
5472,Luis Hern\u00e1ndez,Defender,13.568783
41124,Naldo,Defender,13.540698
3806,Javi L\u00f3pez,Defender,15.160079
3798,D\u00eddac Vil\u00e1,Defender,15.194227
4303,David L\u00f3pez,Defender,14.368788
247169,Diego Gonz\u00e1lez,Defender,14.115685
288663,M. Caldara,Defender,13.571903
20459,L. Bonucci,Defender,13.748341
280419,H. Hateboer,Defender,13.65383
263803,T. Castagne,Defender,13.725716
146588,A. Romagnoli,Defender,13.469461
295176,R. Gosens,Defender,14.394176
21004,V. Regini,Defender,14.114063
21001,E. Hysaj,Defender,14.291265
22107,M\u00e1rio Rui,Defender,15.158015
20458,A. Barzagli,Defender,13.961859
3300,Albiol,Defender,13.861873
134427,D. Rugani,Defender,13.544437
3464,Luna,Defender,14.017382
222770,N\u00e9lson Semedo,Defender,14.866102
70084,Alex Sandro,Defender,14.634677
231138,P. Kimpembe,Defender,14.773462
40539,Marquinhos,Defender,14.0982275
26196,D. Sidib\u00e9,Defender,14.497852
120717,O. Haddadi,Defender,15.202212
3463,F. Fazio,Defender,13.725723
20579,M. Benatia,Defender,14.089453
3304,Nacho,Defender,14.128214
15214,A. Rukavina,Defender,13.831861
125250,\u00d3. Duarte,Defender,14.302655
14795,M. Hummels,Defender,14.036322
14716,J. Boateng,Defender,15.526051
14798,\u0141. Piszczek,Defender,14.688234
119951,Ahmed Hegazy,Defender,13.352463
396475,A. Hakimi,Defender,14.6491375
70389,C\u00e9dric Soares,Defender,14.4573965
56026,J. Stryger Larsen,Defender,14.292614
125286,G. Gonz\u00e1lez,Defender,13.325093
54451,B. S\u00e6varsson,Defender,14.542157
55983,R. Sigur\u00f0sson,Defender,13.296979
16443,L. Balogun,Defender,13.65527
50102,F. Sch\u00e4r,Defender,14.469932
424241,N. Milenkovi\u0107,Defender,13.605702
8306,A. Kolarov,Defender,14.437457
20465,S. Lichtsteiner,Defender,14.062211
3795,H. Moreno,Defender,14.263575
18669,J. Hector,Defender,13.997719
224593,J. Kimmich,Defender,16.652403
28529,Y. Sabaly,Defender,14.633147
25726,K. Koulibaly,Defender,13.49153
26115,S. San\u00e9,Defender,14.120602
240032,J. Bednarek,Defender,13.348119
21097,K. Glik,Defender,14.664312
99833,B. Bereszy\u0144ski,Defender,14.164126
4501,Daniel Carvajal,Defender,15.682937
8126,Jos\u00e9 Fonte,Defender,13.786839
3269,Jordi Alba,Defender,14.5436945
3341,Piqu\u00e9,Defender,14.345652
3306,Sergio Ramos,Defender,13.96358
28907,Rapha\u00ebl Guerreiro,Defender,14.665736
3305,Pepe,Defender,13.643843
20433,S. Kj\u00e6r,Defender,13.589944
55979,M. J\u00f8rgensen,Defender,13.769103
135103,A. Christensen,Defender,13.409227
3355,J. Mascherano,Defender,15.124271
101652,M. Rojo,Defender,14.051641
70086,N. Otamendi,Defender,15.096073
86220,G. Mercado,Defender,14.841258
255387,C. Salcedo,Defender,14.452642
112366,M. Lay\u00fan,Defender,14.842694
3434,Filipe Luis,Defender,14.341647
14922,R. Rodr\u00edguez,Defender,15.324177
3310,Marcelo,Defender,13.467458
297957,M. Akanji,Defender,14.138846
703,M. Yoshida,Defender,14.1794815
256634,Y. Mina,Defender,14.433645
20517,Y. Nagatomo,Defender,14.374676
257762,D. S\u00e1nchez,Defender,13.689409
91702,J. Mojica,Defender,14.277281
94695,H. Sakai,Defender,14.098947
7918,P. Jones,Defender,14.331311
20460,M. C\u00e1ceres,Defender,14.23468
227894,J. Gim\u00e9nez,Defender,12.958585
3433,D. God\u00edn,Defender,13.777132
101583,S. Ignashevich,Defender,13.316737
3431,Jo\u00e3o Miranda,Defender,13.7331505
20394,Thiago Silva,Defender,14.028776
